x,z,taille
# Ensemble de particules : N = 100 | d = 0.1 | E_0 = 1 | taille = 0
7.05,14.05,0
-2.95,-20.45,0
0.55,-2.05,0
-22.85,3.05,0
7.75,-9.35,0
-21.65,10.05,0
23.25,-20.25,0
-1.05,3.45,0
9.95,-11.45,0
9.75,-1.35,0
-24.95,18.45,0
10.55,21.55,0
19.05,4.85,0
0.75,-14.95,0
-2.25,16.25,0
11.35,-21.35,0
20.35,-7.55,0
18.25,-8.75,0
-4.15,21.85,0
-22.05,18.25,0
19.95,20.45,0
10.35,16.15,0
9.45,-11.65,0
9.25,13.25,0
11.95,-2.15,0
-18.15,-19.25,0
-8.65,13.15,0
-6.45,2.15,0
-3.95,-17.65,0
-16.75,23.35,0
16.25,2.25,0
3.35,19.15,0
19.15,-18.25,0
-18.35,-10.05,0
6.35,1.65,0
-14.25,4.55,0
-6.85,-3.15,0
13.55,18.95,0
-23.45,-18.55,0
0.65,1.75,0
-7.75,-16.15,0
14.05,22.85,0
-2.45,20.55,0
2.35,3.45,0
7.55,-2.65,0
-24.65,-14.65,0
-5.85,4.65,0
14.05,24.85,0
10.35,-7.15,0
7.45,-7.65,0
-23.35,1.15,0
-23.95,4.45,0
19.95,22.45,0
19.65,20.95,0
20.85,-12.95,0
5.95,15.05,0
11.35,10.35,0
15.35,11.35,0
-14.05,-15.35,0
19.25,-23.55,0
-19.65,15.65,0
17.85,4.75,0
-24.35,11.15,0
-5.25,8.35,0
-19.15,-3.65,0
0.15,-7.15,0
23.55,-15.95,0
1.05,20.05,0
-3.95,-19.55,0
9.55,-19.65,0
-18.25,3.85,0
22.95,15.55,0
-20.55,-22.95,0
-10.55,-10.15,0
-18.45,19.35,0
7.55,-8.25,0
22.25,10.25,0
-12.05,-15.25,0
-19.75,-1.25,0
-5.45,9.65,0
6.25,-7.65,0
-2.25,-12.05,0
-1.05,21.75,0
0.65,-24.15,0
-4.95,5.65,0
-19.55,18.05,0
0.25,1.15,0
-15.75,-14.85,0
22.95,3.75,0
0.35,20.75,0
-3.35,2.55,0
-7.95,6.05,0
-10.15,4.55,0
-18.55,12.55,0
-19.05,-20.35,0
-3.25,9.45,0
0.45,2.85,0
-24.15,-11.15,0
17.75,14.45,0
10.15,3.95,0
14.25,-1.35,0
-8.95,-1.55,0
9.15,23.85,0
14.25,12.85,0
-13.05,14.05,0
-5.95,-12.25,0
16.25,-21.65,0
5.45,-9.55,0
18.05,-2.75,0
-15.45,19.25,0
-21.95,-10.45,0
9.65,2.15,0
24.55,16.25,0
19.35,-16.35,0
9.95,5.95,0
-23.65,10.95,0
-16.05,-21.05,0
-13.55,-17.45,0
11.05,-21.65,0
20.35,15.55,0
24.65,14.65,0
8.05,20.95,0
-16.95,-14.15,0
-5.45,0.25,0
-18.95,22.15,0
2.35,-11.25,0
-10.85,6.85,0
18.15,-16.75,0
-21.65,2.55,0
11.85,12.75,0
13.95,-21.35,0
-12.65,-3.75,0
-24.75,-16.15,0
-22.35,-20.65,0
9.15,7.15,0
-6.95,15.35,0
-18.75,1.95,0
-20.45,18.35,0
-20.45,-3.95,0
18.15,9.55,0
-23.95,-18.35,0
-3.55,-20.25,0
-10.95,10.85,0
0.55,15.95,0
14.05,-12.75,0
-24.15,15.15,0
1.45,14.25,0
3.55,-18.65,0
19.25,23.45,0
-24.65,-3.25,0
7.35,11.45,0
-13.85,-14.75,0
-1.25,-8.55,0
-10.15,24.65,0
3.25,13.95,0
-7.15,21.25,0
3.75,-22.85,0
18.05,0.75,0
23.35,-5.55,0
1.65,20.85,0
14.65,-7.15,0
14.15,-13.35,0
16.85,20.25,0
15.85,7.25,0
1.55,-24.35,0
-13.85,12.75,0
10.15,12.15,0
-22.35,20.45,0
-5.85,4.95,0
13.15,-3.25,0
-16.05,-2.15,0
-3.05,-6.85,0
-0.95,13.95,0
9.85,-14.35,0
10.65,-9.45,0
15.05,-7.45,0
10.65,15.95,0
