vx,vz
# Ensemble de particules : N = 160 | d = 3.3e-10 | E_0 = 1.19e-21 | taille = 3.99e-10 | masse = 6.63e-26
-137.358,-119.087
13.4523,-136.888
-206.602,178.373
78.2834,-131.448
-134.794,228.799
0.0190738,-106.449
137.461,-132.573
-125.1,36.1223
-152.392,-160.77
-131.105,80.0496
-101.042,-131.37
-99.4104,-124.486
-73.7388,-66.0417
31.68,28.8961
-218.244,174.157
-49.1779,-25.6183
-34.5019,120.619
26.3665,-119.817
97.55,38.8603
52.9594,162.238
-120.134,-70.1362
-136.019,-106.228
206.941,78.6007
203.828,-24.9272
-5.86793,52.5406
-39.602,-190.653
-22.4567,114.884
71.5725,113.46
347.164,11.1555
20.1655,-76.5648
164.128,22.158
-106.207,309.416
-115.277,-102.956
-28.4272,-58.1382
-107.113,174.924
73.8543,65.7272
13.5073,-282.272
-172.219,-11.7802
-144.896,-152.415
11.044,-269.547
-92.3743,56.6959
99.6608,-264.245
48.0514,85.6894
30.7354,-109.664
-184.685,22.4763
-110.802,-36.1778
-34.3151,-65.5291
79.2075,1.48028
25.415,409.721
-23.3269,-57.4539
-88.554,-336.521
15.8247,-73.8068
119.884,-227.489
-37.4301,-171.767
-139.941,35.6692
-278.044,-113.154
-69.0498,66.4871
2.28758,52.5742
361.781,171.219
-0.496517,8.19604
130.42,-149.35
23.0281,-129.982
119.244,-82.9614
-170.853,-39.0815
-199.942,79.4844
119.405,-30.0579
-236.792,-32.821
-45.9805,-187.278
267.338,129.644
-72.8698,60.5099
19.8923,132.57
-182.351,-18.121
-104.22,167.168
-54.3111,-66.1529
-100.429,188.702
68.9195,-30.9302
286.587,-113.669
27.6867,-22.318
-251.192,-89.7048
-17.0006,-6.62482
26.0087,205.286
93.365,-25.8074
-128.485,41.505
3.54399,-240.424
105.025,-115.496
-147.095,-270.424
-1.5796,96.4178
-68.8451,115.875
4.36651,104.263
18.9515,-128.693
-91.9964,2.5278
-185.988,-61.723
-0.168413,226.476
-136.845,-25.974
-217.2,-286.59
41.047,254.032
-144.773,-50.1392
-104.953,159.842
98.6688,-19.902
-124.948,-89.5286
-43.8736,4.41218
29.257,-32.5105
100.507,-19.9354
-29.9967,131.377
-48.7569,-400.826
-80.5857,74.7207
244.164,-64.8197
-183.392,347.792
-171.591,71.5412
126.742,-200.095
-111.017,266.221
155.206,115.156
112.946,78.605
-138.986,-156.954
-115.077,-7.27798
-86.3613,-216.431
-374.253,-111.935
-141.031,37.9374
-86.0911,190.631
32.1728,-19.2457
92.5786,-53.0509
-26.1131,236.64
117.449,183.785
-176.77,138.845
-187.005,0.318141
-32.4767,137.155
110.37,-113.672
-47.5268,39.2966
191.821,-151.626
-221.863,117.867
-91.2354,99.2663
65.4667,89.445
145.556,-147.575
-173.353,-83.5548
-110.885,15.3474
-75.227,-50.6511
-158.799,-116.656
-115.215,-227.393
-100.064,85.7125
-225.351,95.2641
27.1421,-51.7741
107.961,23.2048
233.574,-65.3961
51.6007,94.4579
11.1827,112.202
180.736,-142.232
-161.685,-284.11
6.98804,-180.116
-178.673,74.6176
94.6779,-85.7094
-115.184,-154.841
106.047,-218.558
-117.241,211.815
-116.833,-128.584
-123.34,203.908
-1.93562,286.813
129.93,-101.966
146.471,38.7699
88.334,216.713
-117.873,-120.296
143.96,177.469
10.2864,-68.0874
-48.1985,-179.252
-158.112,-58.1385
91.4204,-121.395
-168.002,168.493
229.932,98.2067
89.1674,-54.8105
90.2215,47.2646
-35.6595,-119.339
0.280487,70.4976
-215.616,-11.3854
112.411,-130.693
217.856,178.949
-14.389,-84.9163
-31.012,224.618
-36.8083,-123.801
184.156,25.5166
-143.298,84.6226
-156.245,73.0182
63.5926,-108.495
-9.55502,-60.9878
-177.26,-45.5622
124.519,146.074
-100.237,-89.8423
-132.724,179.591
-4.01778,-135.765
172.059,-205.687
-38.312,-0.708916
126.248,-19.8802
187.913,-12.5997
123.063,166.646
128.069,-220.13
7.97939,-127.782
277.707,68.811
0.315037,27.9606
155.407,-216.822
47.8968,-116.748
-80.013,-207.022
-72.9245,229.252
-241.144,195.829
-33.2911,-98.578
161.29,121.246
-175.421,-152.604
157.11,321.028
-32.3256,73.3522
18.3392,-203.564
-81.4907,32.6786
43.6998,163.13
-112.99,253.803
82.7058,-71.4595
-59.2889,-461.377
-190.222,-11.7789
109.772,115.051
53.1398,177.461
74.1511,-78.9793
-106.462,144.125
36.9717,-131.54
-0.782072,-230.197
-126.216,154.389
-16.4262,280.445
14.6673,130.728
249.696,8.31775
